timestamp,price,amount,log_return,sma,vwap,volatility
2025-08-12 15:16:03.668,119488.1,36,0.0,119497.73000000001,119385.3161123339,1.9332559444629566e-05
2025-08-12 15:16:03.668,119488.1,38,0.0,119497.13500000001,119385.3766109047,1.9320306167933147e-05
2025-08-12 15:16:03.668,119488.1,34,0.0,119496.54000000001,119385.4306808683,1.9320306167933147e-05
2025-08-12 15:16:03.668,119488.1,20,0.0,119495.94500000002,119385.46246014806,1.9320306167933147e-05
2025-08-12 15:16:03.668,119488.1,34,0.0,119495.35,119385.51643979717,1.9320306167933147e-05
2025-08-12 15:16:03.668,119488.1,2,0.0,119494.755,119385.5196133025,1.9320306167933147e-05
2025-08-12 15:16:09.125,119477.1,110,-9.20636143486497e-05,119493.61000000002,119385.67516985803,2.7364310458743113e-05
2025-08-12 15:16:09.125,119477.1,200,0.0,119492.46500000001,119385.95665024641,2.7364310458743113e-05
2025-08-12 15:16:09.125,119477.1,200,0.0,119491.32000000002,119386.23640270115,2.7364310458743113e-05
2025-08-12 15:16:09.125,119477.1,200,0.0,119490.17999999998,119386.51444308455,2.737902255584209e-05
2025-08-12 15:16:09.234,119476.9,60,-1.6739623527056121e-06,119489.03,119386.59734026302,2.735086571654779e-05
2025-08-12 15:16:10.177,119466.2,58,-8.956107129393909e-05,119487.345,119386.66785179765,3.2532992603744824e-05
2025-08-12 15:16:10.177,119466.2,26,0.0,119485.66,119386.69941988286,3.2532992603744824e-05
2025-08-12 15:16:10.177,119466.2,140,0.0,119483.975,119386.86897203106,3.2532992603744824e-05
2025-08-12 15:16:10.177,119466.2,110,0.0,119482.29,119387.0016850687,3.2532992603744824e-05
2025-08-12 15:16:10.177,119466.2,10,0.0,119480.60500000001,119387.01372787554,3.2532992603744824e-05
2025-08-12 15:16:10.177,119466.2,10,0.0,119478.92,119387.0257670205,3.2532992603744824e-05
2025-08-12 15:16:10.177,119466.2,200,0.0,119477.75,119387.26578349057,2.785241532117627e-05
2025-08-12 15:16:10.177,119466.2,200,0.0,119476.57999999999,119387.50434914025,2.785241532117627e-05
2025-08-12 15:16:10.177,119466.2,200,0.0,119475.48500000002,119387.7414770845,2.792826997333702e-05
2025-08-12 15:16:10.177,119466.2,202,0.0,119474.39000000001,119387.97953016112,2.792826997333702e-05
2025-08-12 15:16:10.177,119463.3,2,-2.4274943028318945e-05,119473.15,119387.9817927845,2.803628269781078e-05
2025-08-12 15:16:10.177,119459.8,60,-2.9298129818771696e-05,119471.73499999999,119388.0464569766,2.8230199760071795e-05
2025-08-12 15:16:10.177,119459.4,1136,-3.3484123503564206e-06,119470.3,119389.24245580912,2.8166120226659704e-05
2025-08-12 15:16:10.177,119458.2,2,-1.004530432250741e-05,119468.80500000001,119389.24449067525,2.8029899958121872e-05
2025-08-12 15:16:10.177,119457.9,236,-2.511341847638452e-06,119467.295,119389.48272363709,2.79764673957286e-05
2025-08-12 15:16:13.124,119457.9,100,0.0,119466.335,119389.5831718347,2.0899045159267775e-05
2025-08-12 15:16:14.581,119458.0,8,8.371146500488117e-07,119465.38,119389.59120669415,2.0916816377703243e-05
2025-08-12 15:14:57.182,119421.2,36,-0.0003081055218798632,119462.58499999999,119389.60790245915,7.01762606168276e-05
