trade_id,price,amount,direction,timestamp
,119291.6,110,buy,2025-08-12 14:56:40.123
,119291.6,8,buy,2025-08-12 14:56:43.783
,119291.6,2,buy,2025-08-12 14:56:46.352
,119291.6,66,buy,2025-08-12 14:56:46.352
,119291.8,10,buy,2025-08-12 14:56:46.850
,119305.0,2,buy,2025-08-12 14:56:47.120
,119307.1,6,buy,2025-08-12 14:56:50.707
,119307.1,52,buy,2025-08-12 14:56:51.243
,119307.1,58,buy,2025-08-12 14:56:51.243
,119307.1,2,buy,2025-08-12 14:56:58.331
,119307.1,142,buy,2025-08-12 14:57:04.513
,119307.1,332,buy,2025-08-12 14:57:04.513
,119307.1,332,buy,2025-08-12 14:57:04.513
,119307.1,110,buy,2025-08-12 14:57:04.513
,119307.1,94,buy,2025-08-12 14:57:04.513
,119307.1,112,buy,2025-08-12 14:57:04.513
,119307.1,266,buy,2025-08-12 14:57:04.513
,119307.1,66,buy,2025-08-12 14:57:04.513
,119307.1,102,buy,2025-08-12 14:57:04.513
,119307.1,18,buy,2025-08-12 14:57:04.513
,119307.1,418,buy,2025-08-12 14:57:04.513
,119307.1,8,buy,2025-08-12 14:57:04.513
,119307.0,2,sell,2025-08-12 14:57:05.010
,119307.1,2,buy,2025-08-12 14:57:06.164
,119307.0,18,sell,2025-08-12 14:57:10.077
,119307.1,2,buy,2025-08-12 14:57:11.235
,119307.1,2,buy,2025-08-12 14:57:11.598
,119307.1,20,buy,2025-08-12 14:57:12.071
,119307.0,2,sell,2025-08-12 14:57:13.495
,119307.0,56,sell,2025-08-12 14:57:17.790
,119307.0,42,sell,2025-08-12 14:57:31.663
,119307.1,2,buy,2025-08-12 14:57:33.632
,119307.1,42,buy,2025-08-12 14:57:34.135
,119307.0,34,sell,2025-08-12 14:57:39.462
,119307.0,110,sell,2025-08-12 14:57:39.462
,119306.8,14,sell,2025-08-12 14:57:39.551
,119304.9,18,sell,2025-08-12 14:57:39.561
,119304.9,46,sell,2025-08-12 14:57:39.692
,119305.0,24,buy,2025-08-12 14:57:45.064
,119305.0,88,buy,2025-08-12 14:57:45.380
,119305.0,112,buy,2025-08-12 14:57:45.380
,119305.0,2,buy,2025-08-12 14:57:49.244
,119319.4,2,sell,2025-08-12 14:57:52.108
,119319.4,4,sell,2025-08-12 14:57:52.114
,119319.4,2,sell,2025-08-12 14:57:52.124
,119319.4,6,sell,2025-08-12 14:57:52.133
,119319.5,58,buy,2025-08-12 14:57:57.859
,119319.5,36,buy,2025-08-12 14:57:57.859
,119319.5,8,buy,2025-08-12 14:57:57.859
,119319.4,12,sell,2025-08-12 14:58:01.450
,119319.4,24,sell,2025-08-12 14:58:01.450
,119319.5,2,buy,2025-08-12 14:58:04.572
,119333.8,2,sell,2025-08-12 14:58:12.293
,119333.8,2,sell,2025-08-12 14:58:12.303
,119333.9,32,buy,2025-08-12 14:58:13.227
,119333.9,26,buy,2025-08-12 14:58:13.354
,119336.7,58,buy,2025-08-12 14:58:14.186
,119336.7,2,buy,2025-08-12 14:58:16.206
,119345.8,2,buy,2025-08-12 14:58:17.335
,119345.8,56,buy,2025-08-12 14:58:17.475
,119346.2,2,buy,2025-08-12 14:58:17.475
,119350.4,60,buy,2025-08-12 14:58:17.480
,119350.7,2,buy,2025-08-12 14:58:17.480
